"S/N"	"SLTDA REGISTRATION NO"	"TRAVEL AGENCY NAME"
""	"1 SLTDA/SQA/TA/1413"	"M & S TRAVEL SOLUTIONS (PVT) LTD"
""	"2 SLTDA/SQA/TA/1415"	"THE TRAVELEX"
""	"3 SLTDA/SQA/TA/1416"	"SONALY TOURS & TRAVELS (PVT) LTD"
""	"4 SLTDA/SQA/TA/1429"	"JOURNEY LANKA HOLIDAYS (PVT) LTD"
""	"5 SLTDA/SQA/TA/1431"	"HAPPY LIFE TRAVELS & TOURS"
""	"6 SLTDA/SQA/TA/1282"	"AMERASIAN TRAVELS (PVT) LTD"
""	"7 SLTDA/SQA/TA/1432"	"HAFSA TRAVELS & TOURS (PVT) LTD"
""	"8 SLTDA/SQA/TA/1390"	"TOUR SOLUTIONS LANKA (PVT) LTD"
""	"9 SLTDA/SQA/TA/1436"	"HERITAGE HOLIDAY LANKA (PVT) LTD"
""	"10 SLTDA/SQA/TA/1440"	"AKQUASUN LANKA (PVT) LIMITED"
""	"11 SLTDA/SQA/TA/1388"	"LIFE LEISURE HOLIDAYS (PVT) LTD"
""	"12 SLTDA/SQA/TA/1445"	"SERENDIVUS INTERNATIONAL (PRIVATE) LIMITED"
""	"13 SLTDA/SQA/TA/1446"	"AMADIV HOLIDAYS LANKA (PVT) LTD"
""	"14 SLTDA/SQA/TA/1447"	"WALKSONS TOURIST (PRIVATE) LIMITED"
""	"15 SLTDA/SQA/TA/1450"	"HAJARA TRAVELS (PVT) LTD"
""	"16 SLTDA/SQA/TA/1454"	"ELEVEN TOURS DMC (PVT) LTD"
""	"17 SLTDA/SQA/TA/1455"	"AL RAHAMATH TRAVELS & TOURS"
""	"18 SLTDA/SQA/TA/1459"	"HIMAYA TRAVELS & TOURS (PVT) LTD"
""	"19 SLTDA/SQA/TA/1375"	"PARADISE TRAVELS (PVT) LTD"
""	"20 SLTDA/SQA/TA/0904"	"N.M. TRAVELS & TOURS (PVT) LTD"
""	"21 SLTDA/SQA/TA/1466"	"WARNER TRAVELLERS (PVT) LTD"
""	"22 SLTDA/SQA/TA/1467"	"SAPPHIRE SHIPPING (PVT) LTD"
""	"23 SLTDA/SQA/TA/1468"	"CHELCEY TRAVELS (PVT) LTD"
""	"24 SLTDA/SQA/TA/1470"	"HANA GLOBAL TICKETING SERVICES (PVT) LTD"
""	"25 SLTDA/SQA/TA/1471"	"SILK ROAD TRAVELS (PVT) LTD"
""	"26 SLTDA/SQA/TA/0424"	"SUPERLINK TOURS (PVT) LTD"
""	"27 SLTDA/SQA/TA/0933"	"BLUE OCEAN TRVELS (PVT) LTD"
""	"28 SLTDA/SQA/TA/0800"	"SUPERLINK AIR (PVT) LTD"
""	"29 SLTDA/SQA/TA/1255"	"LEOPARD SAFARIS (PVT)LTD"
""	"30 SLTDA/SQA/TA/1367"	"GANISTA TRAVEL & LOGISTIC SOLUTION (PVT) LTD"
""	"31 SLTDA/SQA/TA/1368"	"CEYLON LEGEND TRAVELS (PVT) LTD"
""	"32 SLTDA/SQA/TA/1356"	"CEYLAN VACATIONS (PVT) LTD"
""	"33 SLTDA/SQA/TA/1472"	"AL - KUBRAAH INTERNATIONAL TOURS & TRAVELS"
""	"34 SLTDA/SQA/TA/1391"	"CENTRAL RESERVATION SYSTEMS (PVT)LTD"
""	"35 SLTDA/SQA/TA/1389"	"HOLIZONE LANKA VACATION PLANNERS"
""	"36 SLTDA/SQA/TA/1384"	"RELAX LANKA TOURS"
""	"37 SLTDA/SQA/TA/1401"	"FRONTIER DESTINATIONS (PVT)LTD"
""	"38 SLTDA/SQA/TA/1310"	"MILLENNIUM TRAVELS AND TOURS (PVT) LTD"
""	"39 SLTDA/SQA/TA/0950"	"HILLTOP GLOBAL (PVT) LTD"
""	"40 SLTDA/SQA/TA/1185"	"WISDOM TRAVELS AND TOURS INTERNATIONAL (PRIVATE) LTD"
""	"41 SLTDA/SQA/TA/0833"	"GREENLAND TRAVELS & TOURS"
""	"42 SLTDA/SQA/TA/1475"	"TRABANA TOURS (PVT) LTD"
""	"43 SLTDA/SQA/TA/1477"	"SOFTLOGIC DESTINATION MANAGEMENT (PVT) LTD"
""	"44 SLTDA/SQA/TA/1478"	"361 DEGREES (PVT) LTD"
""	"45 SLTDA/SQA/TA/1486"	"JPS TOURS"
""	"46 SLTDA/SQA/TA/1498"	"TROPIC LANKA TRAVELS & TOURS (PVT) LTD"
""	"47 SLTDA/SQA/TA/1499"	"XENIA ABODE SERVICES (PVT) LTD"
""	"48 SLTDA/SQA/TA/1514"	"LANKA STAR HOLIDAYS (PVT) LTD"
