"No."	"Item"	"Description"
"1."	"Location"	"• 
This spa should be located in a spacious 
tranquil and peaceful environment."
"2."	"Access/ Approach"	"• 
The approach should reflect the security 
and the tranquility expected of a spa. 
• 
The 
access 
shall 
be 
easy 
and 
convenience for the guest."
"3."	"Building"	"• 
The building shall be purpose built for a 
spa.  
• 
The  building 
should  have 
an 
air  of 
spaciousness and reflect the character of 
the spa. 
• 
The  overall  design  of 
the  spa  should 
reflect a theme and must be in harmony 
with  the  environment  and  provide  the 
desired  levels  of  comfort,  serenity  and 
tranquility."
"4."	"Compound"	"• 
Compound should be well laid down and 
maintain in the manner befitting a spa of 
and international standard. 
• 
The 
landscaping, 
where 
applicable 
should 
complement 
the 
natural 
environment."
"5."	"Maintenance"	"• 
The  maintenance  of  all  areas  of  the  spa 
should be of very high standard in terms 
of cleanliness, sanitation and hygiene. 
•  Where  oils  are  used 
in  the  treatment"
